collection_name,folder_path,file_name,size_in_bytes,database_name,date_start_entire_backup,date_finalized_file
user_auth,backupdata/2024-01-26_18-46-35,user_auth,226,PlantDB,2024-01-26 18:46:35.006419,2024-01-26 18:46:35.016971
pv_plants,backupdata/2024-01-26_18-46-35,pv_plants,276,PlantDB,2024-01-26 18:46:35.006419,2024-01-26 18:46:35.025386
plant_logger_config,backupdata/2024-01-26_18-46-35,plant_logger_config,319,PlantDB,2024-01-26 18:46:35.006419,2024-01-26 18:46:35.033040
