collection_name,folder_path,file_name,size_in_bytes,database_name,date_start_entire_backup,date_finalized_file
user_auth,backupdata/2024-01-26_17-20-00,user_auth,226,PlantDB,2024-01-26 17:20:00.004531,2024-01-26 17:20:00.020682
pv_plants,backupdata/2024-01-26_17-20-00,pv_plants,276,PlantDB,2024-01-26 17:20:00.004531,2024-01-26 17:20:00.029252
plant_logger_config,backupdata/2024-01-26_17-20-00,plant_logger_config,319,PlantDB,2024-01-26 17:20:00.004531,2024-01-26 17:20:00.042543
